Angle20,Coherency20,Energy20,MeanInt20,VarInt20,Density20,VarDensity20,OrientationRef20,Angle60,Coherency60,Energy60,MeanInt60,VarInt60,Density60,VarDensity60,OrientationRef60,Angle100,Coherency100,Energy100,MeanInt100,VarInt100,Density100,VarDensity100,OrientationRef100,Angle140,Coherency140,Energy140,MeanInt140,VarInt140,Density140,VarDensity140,OrientationRef140,Dist,Frac
0.0,0.00020102437847047128,0.00029056473444677433,1.8576441397022414e-05,3.123371458657598e-05,1.9404108746234883e-05,1.19691194574445e-05,0.0,0.0,4.3210604809162945e-05,0.014016419650494383,-2.339338014334391e-05,0.0001564622553307249,6.521603567855028e-05,-1.637462445658322e-05,0.0,0.0,0.00014989970118561846,-0.00036748331524050215,-3.989929262981917e-06,0.00027563309831601934,-4.953615347136342e-06,0.00014268272038930885,0.0,0.0,0.00011270795348894413,0.027024185849656268,6.026505557732431e-05,0.000406373053387421,0.0002167149797197565,-3.371486902736809e-05,0.0,6.221980985543496e-05,-2.2977830830384072e-05
0.0,0.000125701915165366,0.00024733082172523346,7.5676268331825725e-06,-8.53147976076496e-06,1.7065410998218233e-05,6.878675777977072e-06,0.0,0.0,2.078381860337597e-05,0.014279866931114604,-2.6282861135928925e-05,9.22804899403662e-05,6.535451541211934e-05,5.242298479579688e-05,0.0,0.0,0.00020783757137632364,-0.0005206930049445058,-5.215590245577495e-05,0.00011619170969046078,-4.4860074606689615e-05,0.00014515692464689423,0.0,0.0,0.00010336265635202402,0.02723949578045559,8.626520667542881e-05,0.0002891463515625192,0.00013121115404868267,2.408111226748222e-05,0.0,4.129891815274345e-05,-7.155719986440268e-06
0.0,4.006612836060519e-05,0.00037747391817610776,1.582417186063445e-05,1.541048491693342e-05,4.129809701658438e-06,2.2839221309522983e-05,0.0,0.0,-4.1284824333076564e-05,0.01328983278641227,3.00001863261512e-05,8.910860241062579e-05,9.163146130708455e-05,2.0638952654805642e-05,0.0,0.0,0.00025778676742871376,-0.0009651419214784518,7.802812209301013e-05,0.000169666678173086,2.724763889005999e-05,0.00013801279054537208,0.0,0.0,6.85404645595078e-05,0.02601878915048883,3.3157359759061755e-05,0.00017178066962009186,0.00023707211195256317,5.1053756036201214e-05,0.0,4.959798760251211e-06,1.4445330923873456e-05
0.0,0.00029762977394565127,0.00036948950375326195,2.65574466047358e-05,4.719483330140051e-05,-3.5780471985158435e-05,1.2244806354755333e-05,0.0,0.0,7.101649434082535e-05,0.013949753004853127,-4.169651125041085e-05,0.00014516027112754237,7.05823133813066e-05,7.429830024330286e-06,0.0,0.0,0.00018253336685158938,-0.0007624871509324116,5.779964725505238e-06,0.0001794373640316982,1.98179870134485e-05,0.00011090027602278507,0.0,0.0,0.0001297855910956658,0.027746458387459705,4.141379264166467e-05,0.00022975998691010524,0.00019728795019557932,5.779964725505238e-06,0.0,-1.706583794536254e-05,1.19691194574445e-05
0.0,0.0001869680546903174,0.00026838333148593296,1.307194625521646e-05,9.90628191510634e-06,-1.995385080033607e-05,-8.262175209550193e-07,0.0,0.0,0.00011849290082877051,0.013578404602430982,2.1328754865712618e-05,-3.290743794848172e-05,5.4483608743383094e-05,-6.885228430730805e-07,0.0,0.0,0.0001603581207546556,-0.0006359188425427709,3.536726577979543e-05,-6.876931187060897e-06,2.641941806269532e-05,0.00016895792585580605,0.0,0.0,7.404692179358019e-05,0.027045814402333557,2.2563281879217634e-05,7.894163073041138e-05,0.00021339819928167802,2.7543221714498856e-07,0.0,7.433652360111509e-06,5.363273713809846e-06
0.0,0.00026971660108177087,4.680590758976422e-05,-3.302820951844865e-06,1.4858948543805539e-05,-3.576871490107436e-06,1.3748724925211064e-06,0.0,0.0,-5.365714124572207e-06,0.013156633354715064,-3.151214153807036e-05,0.00010205021920350887,6.246369045936895e-05,-9.63908902584798e-07,0.0,0.0,0.00016558720530024384,-0.0007088246620732264,2.215662653271e-05,2.150920773869025e-05,-2.463380019523953e-05,0.00018067038040692207,0.0,0.0,0.00010294573913427474,0.025922543427349343,6.05419086657788e-05,0.00017795017139699,0.00019219811676551846,1.6237888519898824e-05,0.0,-1.417519250368482e-05,-1.3209070066966255e-05
0.0,0.0001321867388748288,0.00024407205788368191,3.9905185279631716e-05,-6.885228430730805e-07,2.8352118436214546e-05,3.0267246336146414e-05,0.0,0.0,5.546706873305052e-05,0.0132132405550196,-3.151214153807036e-05,0.00011774613701021064,9.396755393331624e-05,4.540010784426229e-06,0.0,0.0,0.00016820171626408253,-0.0006404371852342106,-5.490787104123207e-05,0.00022547971920161558,-9.632334428077982e-06,0.00012219033403182422,0.0,0.0,3.3995945158071805e-05,0.025707835592518102,3.6738279967085674e-05,0.0002962873811745981,0.00022152368667038846,2.43571243796481e-05,0.0,-7.843131433094008e-06,-3.852585449859447e-05
0.0,0.00015806153653563637,0.00040361328288185394,1.3347685961173639e-05,1.4996827685465064e-05,3.069063153915419e-05,7.154246303486822e-06,0.0,0.0,1.018639318783876e-05,0.013955486667974193,7.429830024330286e-06,0.00019074991898082594,9.672005171401654e-05,-5.917139924371817e-06,0.0,0.0,0.00017562556578065713,-0.0006581822799254233,-3.4264121137494996e-05,0.0003436744662878022,3.854256608981643e-06,0.00010333663199280085,0.0,0.0,7.996965171319648e-05,0.02660337626866749,8.28405950236144e-05,0.0003975277962620094,0.00027522827199555344,1.1146819013374554e-05,0.0,4.542283389241675e-05,-7.843704719512345e-06
0.0,0.00014554316041792692,0.0003952016914603451,1.5686272911152876e-05,2.5729324921397456e-05,-1.099749702304642e-06,-9.63908902584798e-07,0.0,0.0,5.5605474291620105e-05,0.01277752047641989,-1.8714078980353044e-05,0.00013978874488129733,7.30576091355628e-05,2.0634831229271455e-06,0.0,0.0,0.00020232862639235627,-0.0005094859344748626,8.394476974649123e-06,0.0001950021533339008,2.490918825881483e-05,0.0001356776299510365,0.0,0.0,9.497128629298857e-06,0.02633177424757749,6.301749307546789e-05,0.0002009814729536652,0.00023544154914656445,-1.8026599442944047e-05,0.0,-0.0001525214236095529,-2.517981349559051e-05
0.0,0.00028391968888275,0.00011023277700705769,3.729089267479058e-05,1.2796219752697624e-05,4.156371000230141e-05,3.040530331310798e-05,0.0,0.0,0.0001013039189434739,0.014127419913466666,3.0276765047299037e-06,9.475780179368787e-05,8.365144327215912e-05,2.0363054890948362e-05,0.0,0.0,0.00019752040105469604,-0.0006227168931999261,-6.798253021145229e-05,0.00015835632178184955,-4.2652846269364275e-06,0.00016181558681915842,0.0,0.0,0.0001285321021381458,0.02586374649895551,1.307194625521646e-05,0.0002872367944515286,0.0001854730435429941,3.247655464833077e-05,0.0,-0.00016172805118330746,-3.302268805049913e-05
0.0,0.00021848756886877485,0.0002966405070735645,4.131532720386133e-07,2.586733694087684e-05,1.9680024287649367e-05,1.2382654753673172e-05,0.0,0.0,9.359285620735847e-06,0.014059930189794678,3.233844808225861e-05,0.0001631921486668908,3.838528950772524e-05,2.0776906490826974e-05,0.0,0.0,0.0001951861761722018,-0.0006968145295160877,-1.3751797685035427e-06,0.0003005308828197828,-8.449312254343866e-05,0.00010100052141226445,0.0,0.0,0.00011064993101295162,0.027295245349160835,1.5686272911152876e-05,0.0003468364850002237,0.0001554462752296759,7.843230349080521e-06,0.0,-9.73153136973881e-05,-4.9394558633064634e-05
0.0,0.00015227253804428464,0.00031508053519857526,2.641941806269532e-05,2.0638952654805642e-05,6.193342086957543e-06,2.8067379419072225e-05,0.0,0.0,3.6196198830107384e-05,0.014070449594007495,4.760965678984874e-05,0.00016996205771013795,0.00010703559158875553,1.802472921741405e-05,0.0,0.0,0.00013752323103033426,-0.00047484922988660916,-7.568170430571897e-06,0.00029961199688532947,-2.2706142316919475e-05,0.00010305874880334187,0.0,0.0,0.00011312518974115893,0.026919494068270322,7.567142523734471e-05,0.00029671159403521497,0.0001784231895791688,5.6421788701133124e-06,0.0,-6.69005048096194e-05,-4.609456290560754e-05
0.0,0.0003311265371530592,0.000166285920827125,-3.7016056808614195e-05,2.8481497790111554e-05,1.2395488554473033e-06,1.7880289790994652e-06,0.0,0.0,0.00010211199454712716,0.013760125244950627,-7.830584150558817e-05,-8.185679032379767e-07,9.713661727162037e-05,7.429830024330286e-06,0.0,0.0,0.00020592435331401315,-0.0008600080874584526,-5.6426366478623535e-05,0.0001166096749268819,2.710959382246081e-05,0.00014763104992676634,0.0,0.0,3.6334365917767286e-05,0.026694444936151585,-1.3771116269545303e-07,0.00021186785591909008,0.00022399811357720623,3.9905185279631716e-05,0.0,-8.944213480743812e-06,1.1555613860458891e-05
0.0,0.00022740122198083856,0.0004787187795375347,-1.1283412153950678e-05,-1.940147622148114e-05,-6.191734130189808e-06,-3.853456906899311e-06,0.0,0.0,-1.2384631440043314e-05,0.01429814408762764,8.394476974649123e-06,6.982415399858777e-05,6.769140720241928e-05,1.7886809428158124e-05,0.0,0.0,0.00019504608475096052,-0.0005743729946827703,4.045797390450634e-05,9.686716146062313e-05,-9.494723202330135e-06,0.0001446347772090517,0.0,0.0,2.1059800224487724e-05,0.027088559037256488,9.769208455678857e-05,0.00024157362190191378,0.00014624090970927206,1.6237888519898824e-05,0.0,6.731126224257533e-05,-1.7612097716890318e-05
0.0,0.000200884179080707,0.00017870302567757346,5.508776246276881e-07,-1.885156501191254e-05,-2.2706142316919475e-05,-3.853456906899311e-06,0.0,0.0,7.129367119873553e-05,0.01394266711206249,1.403709299785394e-05,0.00017299784976110288,7.264191321576519e-05,-5.7795034427154945e-06,0.0,0.0,0.00019738028559590504,-0.0004848124610244975,3.522912184961147e-05,0.00022165040059418661,-3.9081715625721714e-05,9.824760503951424e-05,0.0,0.0,7.913748788579422e-05,0.02687607194030528,4.458072626134513e-05,0.00017883356940118222,0.00020018323250992065,2.1742675832214786e-05,0.0,-2.5187267883586273e-05,-6.742889617439296e-06
0.0,0.000153910314330874,0.00011398824221564574,1.5548377263252533e-05,-2.490501378460408e-05,1.4726582577395675e-05,-3.853456906899311e-06,0.0,0.0,2.5737383229085253e-05,0.014021063081737006,-2.2013908279605587e-06,9.089130548822766e-05,4.939403356518657e-05,2.8343455028223552e-05,0.0,0.0,0.0002509300695984207,-0.000266831952471569,-1.76140722121243e-05,7.416254549741375e-05,3.2890894188897235e-05,0.00014296154559034768,0.0,0.0,0.000122081519227768,0.02772451260235398,1.4445330923873456e-05,0.00011048253013945519,0.00012458770703716038,2.146672521763371e-05,0.0,-0.00014688129958595475,2.5177309883717136e-05
0.0,0.00014017268361210533,0.00020980121529212692,0.0,4.155198910804625e-05,1.3772929962074798e-06,-5.508248681618255e-07,0.0,0.0,7.541378339948057e-05,0.01329442549529114,1.0871121000399775e-05,4.118393997998293e-05,0.00010456096649669178,-2.754190281395452e-07,0.0,0.0,0.00018472810397218709,-0.00046752932455740304,1.4174984309889282e-05,-2.438015952854755e-05,-1.76140722121243e-05,9.28807244227059e-05,0.0,0.0,-8.256073872003888e-06,0.02599262662553925,2.0634831229271455e-06,0.00013500840404290226,0.00017800346056784377,1.0595436189531071e-05,0.0,-2.80776012198114e-05,2.1873491102941678e-05
0.0,0.00023544154914656445,0.0002637191025300911,2.0914863629872826e-05,1.7748892940594452e-05,1.156039078886728e-05,-1.6649641557786587e-05,0.0,0.0,-2.1881348305385906e-05,0.014023730783748856,3.4409517125633116e-06,0.00010550075202919729,7.814659038918315e-05,1.2796219752697624e-05,0.0,0.0,0.00014219512696189707,-0.0004743114255068015,-5.256719070534377e-05,0.0001528413648528293,3.7164850111848224e-06,0.00011874161550740059,0.0,0.0,4.637811022878413e-05,0.026839566839158113,0.00010222517906466333,0.00030180194248385916,0.0002160130934749649,3.481470990496227e-05,0.0,-3.988750323702384e-06,7.264191321576519e-05
0.0,9.843626343442047e-05,0.00033260691536540765,3.687642818250847e-05,4.7471378982977264e-05,-1.995385080033607e-05,1.4583200163120758e-05,0.0,0.0,9.910677460922557e-06,0.013451108692668523,1.637580067703759e-05,0.00017505424608743603,7.814659038918315e-05,1.527259587186247e-05,0.0,0.0,0.0001741298523831869,-0.0007104037880040215,2.7661793925659595e-05,0.00025674784901696945,1.4174984309889282e-05,0.00014076599132328838,0.0,0.0,6.083495674935602e-05,0.02585279887356473,5.751266200992866e-05,0.00039795565056588433,0.00013713886131727637,-1.7883001358631745e-06,0.0,-0.00013984958637014433,2.2563281879217634e-05
0.0,0.00012831719081152215,0.00027261346806484177,-1.8164101934892152e-05,4.691830086134274e-05,3.854256608981643e-06,-1.4447893822655544e-05,0.0,0.0,2.092180776158692e-05,0.014174493504545915,-3.687878275482337e-05,0.00014749706909855664,8.103765901101845e-05,-1.4035300623493896e-05,0.0,0.0,0.00019079743178140873,-0.0004904321729620742,-1.0045148335247056e-05,6.0654886395838936e-05,3.5787167125267416e-06,0.00020391225804805568,0.0,0.0,7.693887790038989e-05,0.026808099484454506,4.733310448690187e-05,0.0001451960078459047,0.00032243281367627663,-2.8622741826689335e-05,0.0,2.299204175382208e-05,-3.123232694013378e-05
